fecha,sitio,ciano,B1,B2,B3,B4,B5,B6,B7
2025-02-20,ZB,40.9,0.00209750002250075,0.00765250017866492,0.02222749963402748,0.01262999977916479,0.01587500050663948,0.00251000002026557,0.00154750002548098
2025-02-20,ZA,27.7,0,0.00333500001579523,0.01760750077664852,0.00922000035643577,0.0080375000834465,0.00124500005040317,0.00116250000428408
2025-02-20,SAT4,8.2,0,7.50000006519258e-4,0.01686500012874603,0.01331750024110078,0.00685499981045723,0.0029225000180304,0.00201499997638165
2025-02-20,SAT3,8.9,0.001657500048168,0.00512250000610947,0.01455499976873397,0.01020999997854232,0.00473750010132789,0.0021524999756366,0.00146499997936189
2025-02-20,CEN,19.4,3.924999909941107e-4,0.00471000000834465,0.0160399992018938,0.0105400001630187,0.00669000018388032,0.00173999997787177,0.0012725000269711
2025-02-20,SAT2,20,0.00275749992579221,0.00825749989598989,0.02217249944806099,0.01312499959021806,0.0184324998408556,0.00449000019580125,0.00245500006712973
2025-06-04,ZB,1.16,0.00168500002473592,0.00663499999791383,0.01551750022917986,0.01447250042110681,0.00371999992057681,0.00228999997489154,0.00187749997712671
2025-06-04,ZA,1.9666666666666668,0.00152000004891306,0.00570000009611249,0.01587500050663948,0.01455499976873397,0.00504000019282102,0.00295000011101365,0.00162999995518475
2025-06-04,SAT4,1.24,0,0.00625000009313225,0.01738750003278255,0.01747000031173229,0.00490250019356608,0.00366499996744096,0.00248249992728233
2025-06-04,SAT3,3.62,0.00121749995741993,0.00701999990269541,0.01716749928891658,0.01472000032663345,0.00567250000312924,0.00352749996818602,0.00234499992802739
2025-06-04,CEN,1.24,0.00306000001728534,0.00669000018388032,0.01749750040471553,0.01502250041812658,0.00506749982014298,0.0028125001117587,0.001657500048168
2025-06-04,SAT2,3.14,0.0029225000180304,0.0078725004568696,0.01763500086963176,0.01510499976575374,0.00602999981492757,0.00314250006340444,0.00193250004667788
2025-06-04,SAT1,1.1,0.0045725000090897,0.00886250007897615,0.01832249946892261,0.01612249948084354,0.00523249991238117,0.00336250010877847,0.00220749992877244
2025-10-02,SITIO1_021025,251.8050000000001,0,0.00822999980300664,0.04837999865412712,0.01832249946892261,0.48334750533103943,0.00789999961853027,0.00410499982535839
2025-11-19,ZB,14.7,8.875000057742e-4,0.00938499998301267,0.03138500079512596,0.02266749925911426,0.01106250006705522,0.00979750044643879,0.00897250045090913
2025-11-19,ZA,7.375,4.4750000233761966e-4,0.00847749970853328,0.02937749959528446,0.02195250056684017,0.00999000016599893,0.01023750007152557,0.00944000016897916
2025-11-19,SAT4,2.9000000000000004,0.00256499997340142,0.01023750007152557,0.02703999914228916,0.03144000098109245,0.02459250018000602,0.01158499997109174,0.00932999979704618
2025-11-19,SAT3,5.5,0.00152000004891306,0.00999000016599893,0.02838749997317791,0.02250250056385994,0.01185999996960163,0.01287749968469143,0.01133750006556511
2025-11-19,CEN,3.9,3.924999909941107e-4,0.00897250045090913,0.02772749960422516,0.02164999954402446,0.00971500016748905,0.01089750044047832,0.00987999979406595
2025-11-19,SAT2,6.2,0.00162999995518475,0.0088349999859929,0.02794750034809112,0.02159499935805797,0.01103499997407198,0.0115574998781085,0.01056750025600195
2025-11-19,SAT1,2.62,0.00132749998010694,0.008670000359416,0.02761749923229217,0.0210999995470047,0.01199750043451786,0.0132074998691678,0.01197000034153461
2026-02-23,SAT1,8.64,5.300000193528831e-4,0.00443500000983476,0.01425249967724084,0.01045749988406896,0.00696500018239021,0.00443500000983476,0.00352749996818602
