fecha,sitio,parametro,lat,lon,promedio
2025-02-20,SAT3,secchi,-30.64262189,-63.52777673,1.44
2025-02-20,SAT3,cla_ciano,-30.64262189,-63.52777673,8.9
2025-02-20,SAT3,cla_tot,-30.64262189,-63.52777673,8.9
2025-02-20,CEN,temp,-30.62509839,-63.531291460000006,26.9
2025-02-20,CEN,turb,-30.62509839,-63.531291460000006,2.89
2025-02-20,CEN,secchi,-30.62509839,-63.531291460000006,1.43
2025-02-20,CEN,cla_ciano,-30.62509839,-63.531291460000006,19.4
2025-02-20,CEN,cla_tot,-30.62509839,-63.531291460000006,21.4
2025-02-20,SAT2,temp,-30.6184867,-63.52335234,26.8
2025-02-20,SAT2,turb,-30.6184867,-63.52335234,3.8
2025-02-20,SAT2,secchi,-30.6184867,-63.52335234,1.17
2025-02-20,SAT2,cla_ciano,-30.6184867,-63.52335234,20
2025-02-20,SAT2,cla_tot,-30.6184867,-63.52335234,32.3
2025-06-04,GAR,temp,-30.6262,-63.56198,15.1
2025-06-04,GAR,turb,-30.6262,-63.56198,4.41
2025-06-04,GAR,secchi,-30.6262,-63.56198,1.39
2025-06-04,GAR,cla_ciano,-30.6262,-63.56198,0.6
2025-06-04,GAR,cla_tot,-30.6262,-63.56198,5.566666666666666
2025-06-04,ZB,temp,-30.623445,-63.54520333333333,15.1
2025-06-04,ZB,turb,-30.623445,-63.54520333333333,4.66
2025-06-04,ZB,secchi,-30.623445,-63.54520333333333,0.95
2025-06-04,ZB,cla_ciano,-30.623445,-63.54520333333333,1.16
2025-06-04,ZB,cla_tot,-30.623445,-63.54520333333333,6.84
2025-06-04,ZA,temp,-30.629448333333332,-63.54303,15.3
2025-06-04,ZA,turb,-30.629448333333332,-63.54303,4.45
2025-06-04,ZA,secchi,-30.629448333333332,-63.54303,1.28
2025-06-04,ZA,cla_ciano,-30.629448333333332,-63.54303,1.9666666666666668
2025-06-04,ZA,cla_tot,-30.629448333333332,-63.54303,7.716666666666667
2025-06-04,SAT4,temp,-31.34271973,-64.46680736,14.8
2025-06-04,SAT4,turb,-31.34271973,-64.46680736,5.34
2025-06-04,SAT4,secchi,-31.34271973,-64.46680736,1.2
2025-06-04,SAT4,cla_ciano,-31.34271973,-64.46680736,1.24
2025-06-04,SAT4,cla_tot,-31.34271973,-64.46680736,7.38
2025-06-04,SAT3,temp,-30.644033333333333,-63.529468333333334,15.3
2025-06-04,SAT3,turb,-30.644033333333333,-63.529468333333334,4.62
2025-06-04,SAT3,secchi,-30.644033333333333,-63.529468333333334,1.23
2025-06-04,SAT3,cla_ciano,-30.644033333333333,-63.529468333333334,3.62
2025-06-04,SAT3,cla_tot,-30.644033333333333,-63.529468333333334,10.22
2025-06-04,CEN,temp,-30.62624,-63.530815,16
2025-06-04,CEN,turb,-30.62624,-63.530815,3.65
2025-06-04,CEN,secchi,-30.62624,-63.530815,1.25
2025-06-04,CEN,cla_ciano,-30.62624,-63.530815,1.24
2025-06-04,CEN,cla_tot,-30.62624,-63.530815,6.82
2025-06-04,SAT2,temp,-30.636486666666666,-63.52343833333333,16.5
2025-06-04,SAT2,turb,-30.636486666666666,-63.52343833333333,4.16
2025-06-04,SAT2,secchi,-30.636486666666666,-63.52343833333333,1.25
2025-06-04,SAT2,cla_ciano,-30.636486666666666,-63.52343833333333,3.14
2025-06-04,SAT2,cla_tot,-30.636486666666666,-63.52343833333333,8.92
2025-06-04,SAT1,temp,-30.607285,-63.515285,15.5
2025-06-04,SAT1,turb,-30.607285,-63.515285,4.09
2025-06-04,SAT1,secchi,-30.607285,-63.515285,1.155
2025-06-04,SAT1,cla_ciano,-30.607285,-63.515285,1.1
2025-06-04,SAT1,cla_tot,-30.607285,-63.515285,7.5
2025-10-02,SITIO1_021025,secchi,-30.626426616666667,-63.5473656,0.005
2025-10-02,SITIO1_021025,cla_ciano,-30.626426616666667,-63.5473656,251.80500000000006
2025-10-02,SITIO1_021025,cla_tot,-30.626426616666667,-63.5473656,274.57500000000005
2025-11-19,GAR,temp,-30.625903333333333,-63.56186,22.4
2025-11-19,GAR,turb,-30.625903333333333,-63.56186,19.3
2025-11-19,GAR,secchi,-30.625903333333333,-63.56186,0.555
2025-11-19,GAR,cla_ciano,-30.625903333333333,-63.56186,54.5
2025-11-19,GAR,cla_tot,-30.625903333333333,-63.56186,67.85
2025-11-19,ZB,temp,-30.624893333333333,-63.54599833333333,22.3
2025-11-19,ZB,turb,-30.624893333333333,-63.54599833333333,7.7
2025-11-19,ZB,secchi,-30.624893333333333,-63.54599833333333,0.645
2025-11-19,ZB,cla_ciano,-30.624893333333333,-63.54599833333333,14.7
2025-11-19,ZB,cla_tot,-30.624893333333333,-63.54599833333333,31.424999999999997
2025-11-19,ZA,temp,-30.63026,-63.544075,22.3
2025-11-19,ZA,turb,-30.63026,-63.544075,6.84
2025-11-19,ZA,secchi,-30.63026,-63.544075,0.75
2025-11-19,ZA,cla_ciano,-30.63026,-63.544075,7.375
2025-11-19,ZA,cla_tot,-30.63026,-63.544075,23.125
2025-11-19,SAT4,temp,-30.654898333333332,-63.53222,23.5
2025-11-19,SAT4,turb,-30.654898333333332,-63.53222,28.5
2025-11-19,SAT4,secchi,-30.654898333333332,-63.53222,0.32
2025-11-19,SAT4,cla_ciano,-30.654898333333332,-63.53222,2.9000000000000004
2025-11-19,SAT4,cla_tot,-30.654898333333332,-63.53222,31.875
2025-11-19,SAT3,temp,-30.64621,-63.52846,22.4
2025-11-19,SAT3,turb,-30.64621,-63.52846,6.54
2025-11-19,SAT3,secchi,-30.64621,-63.52846,0.91
2025-11-19,SAT3,cla_ciano,-30.64621,-63.52846,5.5
2025-11-19,SAT3,cla_tot,-30.64621,-63.52846,21.18
2025-11-19,CEN,temp,-30.62668,-63.532125,22.6
2025-11-19,CEN,turb,-30.62668,-63.532125,6.88
2025-11-19,CEN,secchi,-30.62668,-63.532125,0.725
2025-11-19,CEN,cla_ciano,-30.62668,-63.532125,3.9
2025-11-19,CEN,cla_tot,-30.62668,-63.532125,22.125
2025-11-19,SAT2,temp,-31.38123711,-64.47666871,25
2025-11-19,SAT2,turb,-31.38123711,-64.47666871,6.75
2025-11-19,SAT2,secchi,-31.38123711,-64.47666871,0.72
2025-11-19,SAT2,cla_ciano,-31.38123711,-64.47666871,6.2
2025-11-19,SAT2,cla_tot,-31.38123711,-64.47666871,26.82
2025-11-19,SAT1,temp,-30.608885,-63.515863333333336,23
2025-11-19,SAT1,turb,-30.608885,-63.515863333333336,7.2
2025-11-19,SAT1,secchi,-30.608885,-63.515863333333336,0.64
2025-11-19,SAT1,cla_ciano,-30.608885,-63.515863333333336,2.62
2025-11-19,SAT1,cla_tot,-30.608885,-63.515863333333336,16.86
2026-02-23,SAT1,temp,-30.606455,-63.514575,25.3
2026-02-23,SAT1,turb,-30.606455,-63.514575,3.19
2026-02-23,SAT1,secchi,-30.606455,-63.514575,1.87
2026-02-23,SAT1,cla_ciano,-30.606455,-63.514575,8.64
2026-02-23,SAT1,cla_tot,-30.606455,-63.514575,20.1
2026-02-23,SAT2,temp,-30.621453333333335,-63.52403,25.1
2026-02-23,SAT2,turb,-30.621453333333335,-63.52403,2.21
2026-02-23,SAT2,secchi,-30.621453333333335,-63.52403,1.815
2026-02-23,SAT2,cla_ciano,-30.621453333333335,-63.52403,29.95
2026-02-23,SAT2,cla_tot,-30.621453333333335,-63.52403,38
2026-02-23,DAR,turb,-30.621,-63.52347,66.5
2026-02-23,DAR,cla_ciano,-30.621,-63.52347,65.35
2026-02-23,DAR,cla_tot,-30.621,-63.52347,72.575
2026-02-23,SAT3,temp,-30.64375,-63.52939,25
2026-02-23,SAT3,turb,-30.64375,-63.52939,3.48
2026-02-23,SAT3,secchi,-30.64375,-63.52939,1.63
2026-02-23,SAT3,cla_ciano,-30.64375,-63.52939,8.22
2026-02-23,SAT3,cla_tot,-30.64375,-63.52939,17.38
2026-02-23,SAT4,temp,-30.657783333333334,-63.533115,25.1
2026-02-23,SAT4,turb,-30.657783333333334,-63.533115,6.33
2026-02-23,SAT4,secchi,-30.657783333333334,-63.533115,2
2026-02-23,SAT4,cla_ciano,-30.657783333333334,-63.533115,3.02
2026-02-23,SAT4,cla_tot,-30.657783333333334,-63.533115,11.62
2026-02-23,CEN,temp,-30.6278,-63.53146,25
2026-02-23,CEN,turb,-30.6278,-63.53146,2.77
2026-02-23,CEN,secchi,-30.6278,-63.53146,2
2026-02-23,CEN,cla_ciano,-30.6278,-63.53146,6.14
2026-02-23,CEN,cla_tot,-30.6278,-63.53146,12.98
2026-02-23,ZA,temp,-30.6278,-63.53146,26.1
2026-02-23,ZA,turb,-30.6278,-63.53146,5.27
2026-02-23,ZA,secchi,-30.6278,-63.53146,1.65
2026-02-23,ZA,cla_ciano,-30.6278,-63.53146,15.860000000000001
2026-02-23,ZA,cla_tot,-30.6278,-63.53146,21.82
2026-02-23,ZB,temp,-30.62405,-63.54478,26.4
2026-02-23,ZB,turb,-30.62405,-63.54478,2.8
2026-02-23,ZB,secchi,-30.62405,-63.54478,1.85
2026-02-23,ZB,cla_ciano,-30.62405,-63.54478,2.76
2026-02-23,ZB,cla_tot,-30.62405,-63.54478,8.12
2026-02-23,GAR,temp,-30.62604,-63.594231666666666,25.3
2026-02-23,GAR,turb,-30.62604,-63.594231666666666,5.4
2026-02-23,GAR,secchi,-30.62604,-63.594231666666666,1.74
2026-02-23,GAR,cla_ciano,-30.62604,-63.594231666666666,7.859999999999999
2026-02-23,GAR,cla_tot,-30.62604,-63.594231666666666,28.28
2026-02-23,CITO,temp,-30.62432,-63.53717,27.2
2026-02-23,CITO,turb,-30.62432,-63.53717,41.7
2026-02-23,CITO,secchi,-30.62432,-63.53717,1.33
2026-02-23,CITO,cla_ciano,-30.62432,-63.53717,124.56666666666666
2026-02-23,CITO,cla_tot,-30.62432,-63.53717,136.6
